,time,precipitation
0,2016-01-01,2.4910839
1,2016-01-02,2.7900105
2,2016-01-03,2.6511743
3,2016-01-04,2.2535841
4,2016-01-05,2.5056782
5,2016-01-06,3.040547
6,2016-01-07,3.0811872
7,2016-01-08,2.850187
8,2016-01-09,2.7218118
9,2016-01-10,3.0093625
10,2016-01-11,2.9624608
11,2016-01-12,2.6663604
12,2016-01-13,2.6463811
13,2016-01-14,2.622134
14,2016-01-15,3.18949
15,2016-01-16,3.2063987
16,2016-01-17,3.3608139
17,2016-01-18,3.071474
18,2016-01-19,2.3182385
19,2016-01-20,2.4840572
20,2016-01-21,2.594875
21,2016-01-22,2.6194856
22,2016-01-23,2.8245208
23,2016-01-24,2.910455
24,2016-01-25,2.3962002
25,2016-01-26,2.458275
26,2016-01-27,2.5565472
27,2016-01-28,3.1090364
28,2016-01-29,3.1720903
29,2016-01-30,2.4610448
30,2016-01-31,2.0456092
31,2016-02-01,1.8712658
32,2016-02-02,2.0132387
33,2016-02-03,2.18941
34,2016-02-04,1.9036045
35,2016-02-05,2.3176563
36,2016-02-06,2.8229651
37,2016-02-07,2.7003036
38,2016-02-08,2.8070655
39,2016-02-09,2.0005949
40,2016-02-10,1.9094656
41,2016-02-11,1.9000126
42,2016-02-12,1.9896632
43,2016-02-13,2.3005145
44,2016-02-14,2.3780794
45,2016-02-15,2.7922666
46,2016-02-16,3.240309
47,2016-02-17,2.5359392
48,2016-02-18,2.4594653
49,2016-02-19,2.39021
50,2016-02-20,2.2537735
51,2016-02-21,2.3835552
52,2016-02-22,2.5106287
53,2016-02-23,2.2350283
54,2016-02-24,1.9959873
55,2016-02-25,2.0595517
56,2016-02-26,2.0942667
57,2016-02-27,2.0487266
58,2016-02-28,2.1244721
59,2016-02-29,2.474966
60,2016-03-01,2.3424306
61,2016-03-02,2.020602
62,2016-03-03,1.5323664
63,2016-03-04,1.7520143
64,2016-03-05,1.9889897
65,2016-03-06,2.0311995
66,2016-03-07,2.177327
67,2016-03-08,2.602512
68,2016-03-09,2.7979274
69,2016-03-10,2.3612661
70,2016-03-11,2.4042575
71,2016-03-12,1.9704678
72,2016-03-13,2.1196008
73,2016-03-14,2.3176713
74,2016-03-15,2.5680866
75,2016-03-16,2.3678572
76,2016-03-17,2.1040444
77,2016-03-18,1.9268926
78,2016-03-19,2.1170886
79,2016-03-20,2.0676682
80,2016-03-21,2.0913384
81,2016-03-22,2.3933408
82,2016-03-23,2.2421014
83,2016-03-24,1.8737361
