,time,precipitation
0,2016-01-01,2.5965514
1,2016-01-02,2.6452663
2,2016-01-03,2.6697798
3,2016-01-04,3.0382102
4,2016-01-05,2.8052688
5,2016-01-06,2.6548274
6,2016-01-07,2.3462458
7,2016-01-08,2.4109468
8,2016-01-09,2.1603372
9,2016-01-10,2.3495214
10,2016-01-11,2.8131
11,2016-01-12,2.7785664
12,2016-01-13,2.4249434
13,2016-01-14,3.1135142
14,2016-01-15,2.8334677
15,2016-01-16,3.1284919
16,2016-01-17,2.745608
17,2016-01-18,2.2891731
18,2016-01-19,2.2902458
19,2016-01-20,2.2096195
20,2016-01-21,1.8811954
21,2016-01-22,2.8390937
22,2016-01-23,3.4592626
23,2016-01-24,3.2592611
24,2016-01-25,3.119307
25,2016-01-26,2.5785334
26,2016-01-27,2.6547923
27,2016-01-28,2.9852004
28,2016-01-29,2.7587013
29,2016-01-30,2.5745635
30,2016-01-31,2.7262652
31,2016-02-01,3.06006
32,2016-02-02,3.3213258
33,2016-02-03,3.71614
34,2016-02-04,3.1678905
35,2016-02-05,2.7906187
36,2016-02-06,2.3156803
37,2016-02-07,2.4425776
38,2016-02-08,2.4214742
39,2016-02-09,2.7030587
40,2016-02-10,3.0489433
41,2016-02-11,2.83533
42,2016-02-12,2.9783776
43,2016-02-13,3.400013
44,2016-02-14,3.6700594
45,2016-02-15,3.4286153
46,2016-02-16,3.8093889
47,2016-02-17,3.6152766
48,2016-02-18,3.281444
49,2016-02-19,3.113846
50,2016-02-20,3.0345886
51,2016-02-21,2.624651
52,2016-02-22,2.558651
53,2016-02-23,2.4928997
54,2016-02-24,3.1059356
55,2016-02-25,3.285212
56,2016-02-26,3.3065205
57,2016-02-27,3.4287946
58,2016-02-28,3.188348
59,2016-02-29,3.1573966
60,2016-03-01,2.7141435
61,2016-03-02,2.558796
62,2016-03-03,2.6270576
63,2016-03-04,2.8663588
64,2016-03-05,3.3534632
65,2016-03-06,3.1639862
66,2016-03-07,3.205596
67,2016-03-08,3.7581978
68,2016-03-09,3.6957786
69,2016-03-10,3.524047
70,2016-03-11,3.4377198
71,2016-03-12,3.0404751
72,2016-03-13,2.682045
73,2016-03-14,2.1773183
74,2016-03-15,2.4606786
75,2016-03-16,2.8946629
76,2016-03-17,3.692195
77,2016-03-18,4.224528
78,2016-03-19,4.0572624
79,2016-03-20,3.4702728
80,2016-03-21,4.086242
81,2016-03-22,4.103612
82,2016-03-23,3.8732393
83,2016-03-24,4.7134705
84,2016-03-25,3.9484386
85,2016-03-26,3.218699
86,2016-03-27,2.8615685
87,2016-03-28,3.0144913
88,2016-03-29,2.548891
89,2016-03-30,2.4351184
90,2016-03-31,2.8330688
91,2016-04-01,3.0512078
92,2016-04-02,3.2818296
93,2016-04-03,2.9665492
94,2016-04-04,3.503677
95,2016-04-05,3.98391
96,2016-04-06,3.6444516
97,2016-04-07,3.039541
98,2016-04-08,3.5527463
99,2016-04-09,3.1560144
100,2016-04-10,2.7935607
101,2016-04-11,3.0376883
102,2016-04-12,2.8376548
103,2016-04-13,2.8673737
104,2016-04-14,3.0146801
105,2016-04-15,3.4818037
