,time,precipitation
0,2016-01-01,3.7970746
1,2016-01-02,3.575495
2,2016-01-03,3.6888318
3,2016-01-04,3.5168793
4,2016-01-05,3.5363038
5,2016-01-06,3.5388308
6,2016-01-07,3.4255452
7,2016-01-08,3.704195
8,2016-01-09,3.482125
9,2016-01-10,3.2917187
10,2016-01-11,3.3568583
11,2016-01-12,3.6592221
12,2016-01-13,3.8539848
13,2016-01-14,4.4307075
14,2016-01-15,3.6548712
15,2016-01-16,3.6441257
16,2016-01-17,3.5678675
17,2016-01-18,3.5490937
18,2016-01-19,4.1247673
19,2016-01-20,4.0214367
20,2016-01-21,4.017439
21,2016-01-22,3.7998443
22,2016-01-23,3.9735708
23,2016-01-24,3.360816
24,2016-01-25,3.7266688
25,2016-01-26,3.9425955
26,2016-01-27,4.016707
27,2016-01-28,3.6678386
28,2016-01-29,3.4340212
29,2016-01-30,3.8375676
30,2016-01-31,3.638094
31,2016-02-01,3.6486778
32,2016-02-02,3.4610457
33,2016-02-03,3.688321
34,2016-02-04,4.0062995
35,2016-02-05,4.4561086
36,2016-02-06,4.3520265
37,2016-02-07,4.0965953
38,2016-02-08,4.0729117
39,2016-02-09,4.024659
40,2016-02-10,3.9514408
41,2016-02-11,3.7693996
42,2016-02-12,3.8398652
43,2016-02-13,3.647704
44,2016-02-14,3.723853
45,2016-02-15,4.1822767
46,2016-02-16,4.29443
47,2016-02-17,4.968652
48,2016-02-18,4.117469
49,2016-02-19,3.7338405
50,2016-02-20,3.6286826
51,2016-02-21,3.616591
52,2016-02-22,3.5124254
53,2016-02-23,3.5611365
54,2016-02-24,3.6533804
55,2016-02-25,3.731307
56,2016-02-26,3.7569125
57,2016-02-27,3.8069851
58,2016-02-28,3.602861
59,2016-02-29,4.124068
60,2016-03-01,3.7069752
61,2016-03-02,3.6006613
62,2016-03-03,3.3814342
63,2016-03-04,3.4451993
64,2016-03-05,3.6542263
65,2016-03-06,3.574147
66,2016-03-07,3.34844
67,2016-03-08,3.5395012
68,2016-03-09,3.6499639
69,2016-03-10,3.5357041
70,2016-03-11,3.8796244
71,2016-03-12,3.271345
72,2016-03-13,3.493496
73,2016-03-14,3.7036314
74,2016-03-15,4.166712
75,2016-03-16,3.6270738
76,2016-03-17,4.0293813
77,2016-03-18,3.8062801
78,2016-03-19,3.979208
79,2016-03-20,3.8811018
80,2016-03-21,3.6962643
81,2016-03-22,3.6465294
82,2016-03-23,3.317608
83,2016-03-24,3.593245
84,2016-03-25,3.4296007
85,2016-03-26,3.6123176
86,2016-03-27,3.7205875
87,2016-03-28,3.3514266
88,2016-03-29,3.6138089
89,2016-03-30,3.708819
90,2016-03-31,3.6335657
91,2016-04-01,3.7953525
